Timestamp,response_to_survey,has_black_highschool_child,racial_background,residence_city,school_city,city_clean,grade,school_type,school_district,school_name,age,gender,background_match_family,background_match_friends,background_match_teachers,background_match_students,background_match_coaches,background_match_team_members,background_match_social_media,school_size,racism_discussion_family,racism_discussion_friends,racism_discussion_teachers,racism_discussion_students,racism_discussion_coaches,racism_discussion_team_members,racism_discussion_social_media,experienced_name_calling,witnessed_exclusion,witnessed_bullying,frequency_witnessed_racism,emotional_response_to_racism,peer_reaction_to_racism,peer_actions_during_racism,attention_check_response,experience_description,knows_other_students_targeted,support_satisfaction,support_feedback,school_response_effectiveness,resources_sufficiency,feel_safe,school_inclusiveness,comfort_discussing_race,dei_effectiveness,comfort_reporting,barriers_to_reporting,suggested_improvements,comfort_advocating_black_youth,final_comments,interest_in_training,interest_in_certification,willing_to_pay_training,is_black,is_indigenous,feel_safe_score,support_score,school_response_score,dei_score,resources_sufficiency_score,comfort_discussing_race_score,comfort_reporting_score,comfort_advocating_score,interest_training_score,interest_certification_score
2024-07-09 20:04:22.210,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 3 children",Black (Your ancestors are African/Caribbean),Maple ridge,Maple Ridge,Maple Ridge,Grade 12,Public,School District 42 Maple Ridge-Pitt Meadows,,16,Female,They all have the same background as mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,I don't know,Not sure,Never,Never,Rarely,Never,Never,Never,Never,"No, I haven't noticed this at my school.","No, I haven't noticed this at my school.","No, I haven’t seen this happen at school or experienced this personally.",Never,I feel outraged or furious.,They oppose it / discourage it,"They report the incident to a teacher or authority., They distance themselves from the situation.",Neutral,I haven't experienced any in my school,I do not have other Black friends who are students at other schools in BC.,Neutral,I don't have an opinion,Neutral,Neutral,Very Safe,Extremely inclusive,Very Comfortable,Very effective,Very Comfortable,No reasons ,Not sure,Very Comfortable,No,4 - Very interested,4 - Very interested,0.0,True,False,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0
2024-07-19 22:26:54.287,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Vancouver ,Vancouver ,Vancouver ,Grade 9,Public,School District 44 North Vancouver,,12,Male,They all have different backgrounds from mine,Most have different backgrounds,They all have different backgrounds from mine,They all have different backgrounds from mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,501 to 1000,Rarely,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,"No, I haven't noticed this at my school.","No, I haven't noticed this at my school.","No, I haven’t seen this happen at school or experienced this personally.",Rarely,I feel embarrassed or ashamed.,They ignore it / pretend it isn’t happening,"They distance themselves from the situation., They offer support to the victim.",Neutral,,"No, I do not know other Black students who have experienced anti-Black racism at their schools.",Satisfied,There inclusiveness,Strongly Agree,Agree,Safe,Very inclusive,Neutral,Very effective,Comfortable,,To create more awareness ,Comfortable,,4 - Very interested,4 - Very interested,0.0,True,False,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0
2024-07-20 18:56:32.381,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Victoria,Victoria,Victoria,Grade 11,Public,School District 33 Chilliwack,,16,Female,Most have different backgrounds,Most have different backgrounds,They all have different backgrounds from mine,They all have different backgrounds from mine,Most have different backgrounds,They all have different backgrounds from mine,Most have different backgrounds,501 to 1000,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,"Yes, I have experienced this personally.","Yes, I have experienced this personally.","Yes, and I have experienced this personally.",Sometimes,I feel amused or entertained.,They support / encourage it,"They react impulsively, becoming physical or verbal., They join in or contribute to the behaviour., They offer support to the victim.",Neutral,"Verbal Harassment: A Black student might be subjected to racial slurs, jokes, or derogatory comments from peers or even teachers. For instance, a student might be called names or mocked for their hair, skin color, or cultural practices. It was reported","Yes, I know other Black students who have experienced anti-Black racism at their schools.",Satisfied,Poor response to racism,Agree,Strongly Agree,Safe,Very inclusive,Very Comfortable,Very effective,Comfortable,Distrust in authority,Diverse curriculum,Comfortable,No,3 - Moderately interested,3 - Moderately interested,5.0,True,False,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0
2024-07-20 16:31:16.073,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Victoria ,Victoria ,Victoria,Grade 10,Public,School District 20 Kootenay-Columbia,,14,Male,They all have different backgrounds from mine,Most have different backgrounds,They all have different backgrounds from mine,Most have different backgrounds,Most have different backgrounds,They all have different backgrounds from mine,They all have different backgrounds from mine,200 to 500,Never,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,"Yes, I have experienced this personally.","Yes, I have seen it happening at my school.","Yes, and I have experienced this personally.",Sometimes,I feel embarrassed or ashamed.,They oppose it / discourage it,"They react impulsively, becoming physical or verbal., They distance themselves from the situation.",Neutral,,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Satisfied,Ti,Agree,Neutral,Safe,Moderately inclusive,Comfortable,Moderately effective,Comfortable,For forgive ,None ,Comfortable,No,3 - Moderately interested,2 - Slightly interested,5.0,True,False,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0
2024-07-10 16:10:12.028,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 3 children","White (Your ancestors are European), Black (Your ancestors are African/Caribbean)",Vancouver,Vancouver ,,Grade 11,Public,School District 39 Vancouver,,17,Female,Most have the same background as mine,They all have different backgrounds from mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,More than 1000,Sometimes,Rarely,Sometimes,Rarely,Rarely,Never,Sometimes,"Yes, I have experienced this personally.","Yes, I have experienced this personally.","Yes, and I have experienced this personally.",Often,I feel powerless or helpless.,They support / encourage it,"They join in or contribute to the behaviour., They report the incident to a teacher or authority.",Agree,"I’ve been denied positions in theatre as a kid because of my race. 
People have made fun of my hair. 
My brother has been called names by teachers (monkey, turd etc..)
People have said the N-word to my brother 
People have asked me to say the N-word
My brother’s teacher said “he would be like a monkey in a cage” if he lived in Japan. 
My brothers teacher in elementary said the N-word out loud. ","Yes, I know other Black students who have experienced anti-Black racism at their schools.",,,,,,,,,,,,,,,,,True,False,,,,,,,,,,
2024-07-11 10:32:09.491,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",White (Your ancestors are European),North Vancouver,North Vancouver,,None of the above,Public,School District 44 North Vancouver,,18+,Female,Most have the same background as mine,Most have different backgrounds,Most have the same background as mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,
2024-07-20 19:04:57.013,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Greenwood,Greenwood,Greenwood,Grade 10,Private,School District 39 Vancouver,Point Grey Secondary School,14,Male,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,Most have different backgrounds,Most have different backgrounds,They all have different backgrounds from mine,Most have different backgrounds,Less than 200,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,"Yes, I have experienced this personally.","Yes, I have seen it happening at my school.","Yes, I have seen it happening to others at my school.",Sometimes,I feel anxious or scared.,They support / encourage it,"They react impulsively, becoming physical or verbal., They join in or contribute to the behaviour., They offer support to the victim.",Neutral,"Social Exclusion: Black students might be deliberately excluded from group activities, clubs, or social events. They might notice that they are often the last to be chosen for group projects or teams, or not invited to social gatherings.","Yes, I know other Black students who have experienced anti-Black racism at their schools.",Satisfied,Lack of Diversity Training:,Neutral,Agree,Safe,Very inclusive,Comfortable,Very effective,Comfortable,Normalization of racismw,Safe reporting mechanism,Comfortable,No,4 - Very interested,4 - Very interested,10.0,True,False,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
2024-07-19 20:34:17.907,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,
2024-07-20 16:54:08.207,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Oak Bay ,Oak Bay ,Oak Bay ,Grade 10,Public,School District 51 Boundary,,14,Male,Most have the same background as mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have the same background as mine,Most have the same background as mine,They all have different backgrounds from mine,501 to 1000,Rarely,Sometimes,Never,Sometimes,Never,Never,Never,"Yes, I have seen it happening at my school.","No, I haven't noticed this at my school.","No, I haven’t seen this happen at school or experienced this personally.",Rarely,I feel anxious or scared.,They oppose it / discourage it,"They try to mediate or resolve the conflict., They report the incident to a teacher or authority., They gather others to intervene collectively.",Neutral,I have not experienced it personally I only heard in most cases verbal jokes or insults to blacks.,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Satisfied,I am satisfied.,Agree,Agree,Safe,Moderately inclusive,Neutral,Moderately effective,Comfortable,No valid reasons.,Public enlightenment should suffice.,Very Comfortable,,4 - Very interested,4 - Very interested,10.0,True,False,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0
2024-07-20 19:11:44.517,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Sidney,Sidney,Sidney,Grade 10,Private,School District 63 Saanich,Claremont secondary school,13,Female,They all have different backgrounds from mine,They all have different backgrounds from mine,Most have different backgrounds,They all have different backgrounds from mine,Most have different backgrounds,Most have different backgrounds,They all have different backgrounds from mine,200 to 500,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Sometimes,"Yes, I have experienced this personally.","Yes, I have seen it happening at my school.","Yes, I have seen it happening to others at my school.",Rarely,I feel embarrassed or ashamed.,They oppose it / discourage it,"They try to mediate or resolve the conflict., They report the incident to a teacher or authority., They gather others to intervene collectively.",Neutral,Biased disciplines action,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Satisfied,Insufficient representation,Agree,Neutral,Safe,Very inclusive,Neutral,Slightly effective,Comfortable,Lack of support,Support services,Comfortable,No,4 - Very interested,3 - Moderately interested,10.0,True,False,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0
